"1","Informações gerais sobre o curso","3"
"2","Organização Didático-Pedagógica","4"
"","2.1 
Políticas institucionais no âmbito do curso","4"
"","2.2 
Objetivos do curso","7"
"","2.3 
Justificativa da oferta do curso","9"
"","2.4 
Coordenador","13"
"","2.5 
Endereços de oferta","13"
"","2.6 
Perfil profissional do egresso","14"
"","2.8 
Componentes curriculares","16"
"","2.9 
Metodologia","41"
"3. Curricularização","","45"
"","2.9.2","Abordagem dos temas transversais: educação ambiental, educação das relações"
"","étnico-raciais e educação em direitos humanos","48"
"3","Acessibilidade","50"
"4","Estágio curricular supervisionado","51"
"5","Atividades complementares","52"
"6","Trabalho de conclusão de curso","56"
"7","Apoio ao discente","57"
"","7.1 
Programa de nivelamento","57"
