"Atribuição geral","Atividades","Indicadores"
"","atuação nos projetos","• Envolvimento da comunidade"
"","conduzidos","acadêmica nos projetos"
"","","conduzidos"
"","• Implantação e","• Exercício da gestão do curso"
"","acompanhamento da","dentro das normativas"
"","implantação do Projeto","institucionais"
"","Pedagógico Institucional,","• Presença e disponibilidade na"
"Gestão do curso","diretrizes institucionais","Instituição para atendimento à"
"","específicas e do PPC do curso","comunidade acadêmica e"
"","em sua totalidade","condução dos assuntos"
"","• Acompanhamento da","referentes ao curso, inclusive"
"","condução das disciplinas,","com a CPA e NAD"
"","metodologias e processos de","• Regularidade na publicação e"
"","avaliação da aprendizagem","compartilhamento de diretrizes,"
"","pelo corpo docente","orientações e análises referentes"
"","• Acompanhamento e","ao curso"
"","participação nas ações da","• Cumprimento dos prazos"
"","CPA para sensibilização,","estabelecidos em calendário"
"","avaliação do curso e","acadêmico para o regime"
"","compartilhamento de","acadêmico"
"","relatórios com a comunidade","• Comunicação constante com o"
"","acadêmica","NDE referente às reuniões e"
"","• Interação com a comunidade","assuntos correlatos"
"","acadêmica","• Efetividade da coordenação do"
"","• Coordenação do NDE","NDE"
"","• Acompanhamento dos","• Assiduidade às reuniões"
"","registros acadêmicos","• Regularidade na atualização do"
"","referentes ao curso","Plano de Trabalho da"
"","","Coordenação"
"","• Organização das atribuições","• Registro das orientações e"
"","do corpo docente,","atendimentos realizados"
"","semestralmente","• Cumprimento das normativas"
"Gestão do corpo","• Implantação das normativas","institucionais e dos prazos"
"docente","institucionais referentes à","estabelecidos em calendário"
"","atuação do corpo docente","acadêmico para o regime"
"","• Acompanhamento das","acadêmico"
"","atividades do corpo docente","• Regularidade no registro de"
"","e respectivos registros","acompanhamento do Plano de"
"","• Acompanhamento do Plano","Trabalho docente"
"","de Trabalho Docente",""
"","• Atendimento presencial ao","• Registro das orientações e"
"","corpo discente e","atendimentos realizados"
