"14","CORPO DOCENTE","84"
"","14.1 
Núcleo Docente Estruturante (NDE)","84"
"","14.2 
Regime de trabalho da coordenação de curso","88"
"","14.3 
Corpo Docente: titulação e experiência:","88"
"","14.4 
Regime de trabalho do corpo docente do curso","90"
"","14.5 
Atuação do colegiado de curso ou equivalente","92"
"","14.6 
Produção científica, cultural, artística ou tecnológica","95"
"15","Infraestrutura","97"
"","15.1 
Instalações administrativas","97"
"","15.2 
Salas de aula","98"
"","15.3 
Auditório","98"
"","15.4 
Salas de professores","98"
"","15.5 
Sala da Coordenação","99"
"","15.6 
Espaços para atendimento aos alunos","99"
"","15.7 
Infraestrutura para CPA","100"
"","15.8 
Gabinetes/Estações de trabalho para professores tempo integral - TI","100"
"","15.9 
Instalações sanitárias","100"
"","15.10 
Biblioteca: Infraestrutura física","101"
"","15.11 
Acesso dos alunos a equipamentos de informática","102"
"16","Biblioteca","105"
"17","Periódicos especializados","108"
"18","ANEXO A – CATÁLOGO NACIONAL DE CURSOS SUPERIORES DE TECNOLOGIA – EXTRATO",""
"","REFERENTE AO CURSO","110"
