"Disciplinas",""
"•","SIERRA, Kathy; BATES, Bert. Use a cabeça Java. 2 ed. Editora Alta Books,"
"","2007."
"•","BARNES, David J.; KÖLLING, Michael. Programação orientada a objetos"
"","com Java. 4 ed. Editora Pearson/Prentice-Hall, 2009."
"Bibliografia Complementar",""
"•","SANTOS,  Rafael.  Introdução  à  Programação  Orientada  a  Objetos  Usando"
"","Java. Editora Campus, 2003."
"•","HORSTMANN, CAY S. Conceitos de Computação com Java. Editora"
"","Bookman. 2009."
"•","ARNOLD  Ken.  A  linguagem  de  Programação  JAVA.  Editora  Bookman."
"","2008."
"•","ANSELMO,  Fernando.  Aplicando  Lógica  Orientada  a  Objeto  em  Java."
"","Editora Visual Books. 2005."
"•","RODRIGUES FILHO, Renato. Desenvolva Aplicativos com Java 2. Editora"
"","Érica LTDA. 2007."
